OBJECTID,CTY20CD,CTY20NM,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length
1,E10000003,Cambridgeshire,520312,273864,-0.23506,52.34966,3056053132.91615,366338.051142091
2,E10000006,Cumbria,341868,527180,-2.90213,54.63638,6832513300.98068,542080.592774563
3,E10000007,Derbyshire,426752,353556,-1.6021,53.07858,2549660380.88214,372264.864555559
4,E10000008,Devon,283143,93085,-3.65698,50.72558,6584984982.21725,596948.482358356
5,E10000011,East Sussex,564123,117996,0.334559,50.93805,1721427283.01255,220343.430401771
6,E10000012,Essex,575270,215407,0.54106,51.80982,3469601682.44461,555789.359253341
7,E10000013,Gloucestershire,389595,213465,-2.15235,51.81971,2697360912.11348,350832.696665084
8,E10000014,Hampshire,452859,127536,-1.24735,51.04474,3676625604.95011,473772.875787185
9,E10000015,Hertfordshire,518883,213642,-0.27699,51.80879,1642273719.28583,260398.418146271
10,E10000016,Kent,590249,147268,0.72137,51.19295,3543554284.29701,422939.490773115
11,E10000017,Lancashire,369784,440758,-2.46091,53.86216,2910098458.39144,421673.607556684
12,E10000018,Leicestershire,442147,310191,-1.3779,52.68779,2086209822.47683,300808.316420948
13,E10000019,Lincolnshire,517984,358539,-0.23884,53.11102,5949379692.46992,485590.807248991
14,E10000020,Norfolk,600549,312292,0.964714,52.67123,5380657376.14673,397564.274272542
15,E10000021,Northamptonshire,477359,268708,-0.86668,52.31105,2366309701.7067,302397.182776658
16,E10000023,North Yorkshire,429509,466515,-1.55032,54.09371,8054144298.93956,662886.187868795
17,E10000024,Nottinghamshire,466570,359496,-1.00656,53.1285,2087469891.29843,306556.542186428
18,E10000025,Oxfordshire,448985,208334,-1.29146,51.77155,2608127868.28779,342246.176637247
19,E10000027,Somerset,309300,131077,-3.29595,51.07182,3461188734.33486,377233.557263388
20,E10000028,Staffordshire,398243,334651,-2.02756,52.9093,2628222822.04701,398317.271744619
21,E10000029,Suffolk,608219,266120,1.04919,52.25385,3825092960.10004,423822.83513328
22,E10000030,Surrey,515966,153408,-0.33911,51.26803,1667746578.03526,229434.110449238
23,E10000031,Warwickshire,429584,253588,-1.56874,52.17977,1974608059.48771,332480.719052118
24,E10000032,West Sussex,508316,118010,-0.45933,50.95134,1995889373.48579,268047.371799302
25,E10000034,Worcestershire,385792,257203,-2.20935,52.21287,1743379750.31439,306514.861096251
